Destination_Airport Origin_Airport  Distance 
ORD  	MSY  	837
LAX  	MSP  	1535
MKE  	DTW  	237
MSP  	LSE  	119
PHX  	MCI  	1044
CLE  	BNA  	448
IAH  	PIT  	1117
FAT  	DEN  	844
EWR  	IND  	645
MFE  	IAH  	316
DFW  	HSV  	603
JAC  	EWR  	1874
SMF  	PHX  	647
MCI  	ATL  	692
JAX  	BWI  	663
SGU  	DEN  	517
SFO  	FLL  	2584
ALB  	DTW  	489
STL  	CLE  	487
SAN  	DFW  	1171
MYR  	LBE  	456
PHX  	OMA  	1037
CHA  	DTW  	505
IAD  	ROA  	177
LFT  	ATL  	503
DEN  	LAS  	628
DFW  	DCA  	1192
MDW  	DAL  	793
MDW  	BUF  	468
IAH  	CLE  	1091
IAH  	DEN  	862
IAH  	GPT  	376
PHL  	CLT  	449
MKE  	FLL  	1243
SLC  	AUS  	1086
IAH  	MSY  	305
CLT  	BWI  	361
MDW  	BHM  	570
LGA  	MIA  	1096
SFO  	MDW  	1855
DFW  	FSM  	227
TUL  	MSP  	615
DFW  	JFK  	1391
LAS  	CVG  	1678
CMH  	BNA  	337
DTW  	AZO  	113
ORD  	RDU  	646
GSP  	IAH  	837
DTW  	BOS  	632
SJC  	DAL  	1450
ANC  	ADQ  	253
SNA  	PDX  	859
PIT  	MSP  	726
DEN  	IND  	977
CLE  	SJU  	1839
BWI  	MCO  	787
MSP  	CLT  	930
ROC  	MSP  	783
GNV  	ATL  	300
EWR  	DFW  	1372
GRK  	DFW  	134
RDM  	DEN  	898
PDX  	OAK  	543
SFO  	RNO  	192
SDF  	PHX  	1506
DEN  	FAT  	844
ATL  	DAB  	366
CVG  	GRR  	268
DTW  	MSN  	311
VPS  	ATL  	250
IAH  	MLU  	262
MBS  	ORD  	222
AUS  	SLC  	1086
MSP  	PSP  	1454
LAS  	IND  	1590
DCA  	DEN  	1476
ROA  	ORD  	531
OAJ  	ATL  	399
TTN  	DTW  	464
OAK  	ORD  	1836
SJC  	AUS  	1476
CLE  	ORD  	316
MLU  	DFW  	293
ORF  	IAD  	157
ACY  	FLL  	977
LAS  	OAK  	407
BQN  	MCO  	1129
ORD  	TUS  	1437
ORD  	OGG  	4184
MCO  	CAK  	861
MSP  	GRR  	408
KTN  	SIT  	183
MKE  	SFO  	1845
CVG  	LAS  	1678
SEA  	ATL  	2182
MCI  	LAS  	1139
DEN  	GUC  	152
CHO  	LGA  	305
DFW  	CID  	685
RNO  	JFK  	2411
DEN  	DCA  	1476
TPA  	BOS  	1185
IAH  	BNA  	657
ATL  	IAH  	689
PHX  	LIH  	2979
ATL  	MSN  	707
PIT  	MDW  	402
CHS  	HOU  	928
JAC  	SFO  	737
JFK  	DTW  	509
MEM  	MIA  	859
CHS  	DTW  	667
DEN  	BFL  	845
MCO  	MCI  	1072
ATL  	GSO  	306
CLT  	STL  	575
ATL  	MCO  	404
ALB  	MDW  	717
HOU  	TPA  	781
ORD  	LBE  	459
IND  	BOS  	818
RDM  	LAX  	726
SFO  	ONT  	363
MSP  	OMA  	282
JAC  	DFW  	1047
CAE  	DFW  	922
STL  	DEN  	770
TPA  	ALB  	1130
ORD  	STT  	2116
LGA  	IND  	660
RIC  	CLT  	257
STL  	MSP  	448
SFO  	SBP  	190
BUF  	TPA  	1053
ROC  	JFK  	264
SLC  	IDA  	188
DTW  	CIU  	284
ELP  	ORD  	1236
SBA  	PDX  	784
BNA  	LGA  	764
IAH  	BTR  	253
FCA  	ORD  	1352
BWI  	SAN  	2295
KOA  	SAN  	2556
SAN  	OAK  	446
SNA  	SEA  	978
PHX  	OKC  	833
SMF  	IAH  	1609
FNT  	ATL  	645
PHX  	MIA  	1972
DSM  	PHX  	1150
CAK  	RSW  	991
DFW  	OGG  	3711
PDX  	LAS  	763
MOB  	DFW  	539
DFW  	DRO  	674
LBB  	IAH  	458
MEM  	ATL  	332
CVG  	BNA  	230
ORD  	CID  	196
EWR  	HOU  	1411
ATL  	DSM  	743
DTW  	PWM  	668
SJC  	MSP  	1576
LAX  	MDW  	1750
FLL  	HPN  	1097
DFW  	GRI  	561
SLC  	BUR  	574
ORD  	ABE  	654
CVG  	MSP  	596
MTJ  	ORD  	1081
IAH  	ONT  	1334
MSY  	DTW  	926
ATL  	SFO  	2139
STT  	FLL  	1107
SLC  	MSY  	1428
ATL  	FAY  	331
BOS  	PIT  	496
AUS  	BNA  	756
ATL  	MEM  	332
BWI  	DAY  	406
BTR  	DFW  	383
GRB  	MSP  	252
JAX  	LGA  	833
LAX  	BOI  	674
SFO  	DTW  	2079
AUS  	LBB  	341
DFW  	GPT  	500
ORD  	IND  	177
SEA  	SAT  	1774
SJU  	EWR  	1608
FLL  	MDW  	1167
GRB  	ATL  	774
SEA  	AUS  	1770
JNU  	YAK  	198
FLL  	RIC  	805
PHX  	ORD  	1440
ORD  	EWR  	719
GEG  	MSP  	1175
ORD  	ELP  	1236
PHX  	OGG  	2845
LAX  	BNA  	1797
SAN  	KOA  	2556
DEN  	FAR  	627
RSW  	EWR  	1068
DAL  	CMH  	919
DTW  	CLT  	500
SMF  	OGG  	2404
BTV  	LGA  	258
OAK  	SEA  	672
BWI  	MSP  	936
LAX  	DEN  	862
EWR  	ATL  	746
DEN  	LFT  	978
ORD  	ROA  	531
PIT  	ATL  	526
OTH  	DEN  	1040
FSD  	DFW  	737
CLE  	MYR  	557
SLC  	HLN  	402
IAD  	IAH  	1190
HOU  	CLT  	920
TOL  	ORD  	213
ACY  	RSW  	982
DFW  	LAW  	140
LAS  	LIT  	1294
ORD  	GSP  	578
SFO  	ABQ  	896
ELP  	AUS  	528
SBN  	DTW  	157
RDU  	LAX  	2239
RIC  	IAH  	1157
AEX  	DFW  	285
ATL  	RSW  	515
ORD  	MQT  	303
VPS  	IAH  	528
JAX  	DFW  	918
SEA  	JAC  	621
DTW  	SFO  	2079
DEN  	MSY  	1062
MCO  	ILG  	841
COS  	ORD  	911
SNA  	MCI  	1342
ATL  	CRW  	363
FLL  	MSY  	674
ACY  	DTW  	497
LAX  	SFO  	337
DFW  	BPT  	270
EWR  	SRQ  	1034
STL  	BNA  	272
DEN  	SUN  	557
ELP  	SAT  	496
PHL  	ATL  	666
SJU  	MCO  	1189
LAS  	DAL  	1067
ORD  	FLL  	1182
FLL  	SFO  	2583
BGM  	DTW  	378
ECP  	BWI  	798
SEA  	OAK  	672
HOU  	OKC  	419
MIA  	EWR  	1085
SEA  	DEN  	1024
MCO  	SEA  	2554
DFW  	ANC  	3043
TYS  	DFW  	771
HNL  	OGG  	100
PNS  	HOU  	488
CVG  	SLC  	1450
DTW  	CID  	430
DFW  	ICT  	328
DTW  	PVD  	615
GUC  	IAH  	886
MDT  	ORD  	594
DTW  	BMI  	313
STL  	ATL  	484
MKE  	CVG  	318
RHI  	IMT  	67
RNO  	DFW  	1345
CVG  	MIA  	948
SMF  	SFO  	86
GSO  	ORD  	589
MSP  	BUF  	735
MCI  	SAN  	1334
OAK  	KOA  	2378
CLT  	BUF  	546
DAL  	HOU  	239
ATL  	SAN  	1892
RDU  	MIA  	700
ORD  	SCE  	528
FLL  	PIT  	994
ORD  	CHO  	567
DTW  	ABE  	425
SPS  	DFW  	113
SAN  	LAS  	258
FAI  	SEA  	1533
EWR  	PVD  	160
ORD  	CWA  	212
LGA  	PWM  	269
OAK  	IAH  	1628
CHA  	ATL  	106
DAL  	LAX  	1246
TPA  	HOU  	781
BNA  	SEA  	1978
GJT  	PHX  	438
ATW  	DTW  	296
RNO  	LAS  	345
MKE  	MSP  	297
BIL  	ORD  	1060
DAY  	DFW  	861
AUS  	DTW  	1149
BDL  	LAS  	2297
SAN  	AUS  	1164
IAH  	FLL  	965
RIC  	MSP  	970
BDL  	DFW  	1471
HOU  	MAF  	441
VEL  	SLC  	132
SEA  	ORD  	1721
MSP  	DSM  	232
FAR  	SLC  	866
SJC  	PHX  	621
MLI  	ORD  	139
FLL  	DCA  	899
JFK  	CMH  	483
HNL  	ANC  	2777
DAL  	IND  	755
MCO  	LGA  	950
SAT  	ELP  	496
CLT  	IND  	427
SAV  	DTW  	705
JFK  	TPA  	1005
SWF  	FLL  	1118
PDX  	MSP  	1426
ONT  	IAH  	1334
SUX  	ORD  	436
BNA  	FLL  	793
TUS  	IAH  	936
GRR  	MSP  	408
MIA  	DCA  	919
DCA  	AUS  	1315
LGA  	STL  	888
JFK  	RDU  	427
MOB  	IAH  	427
DFW  	MSP  	852
MIA  	IAD  	921
SFO  	BUR  	326
DAL  	ELP  	562
ATL  	EYW  	646
IAH  	MEM  	468
RDU  	IND  	489
PHX  	MCO  	1849
EGE  	MIA  	1810
ATL  	SLC  	1590
IAD  	SAV  	515
DTW  	TTN  	464
SEA  	FAI  	1533
MEM  	DTW  	610
JAX  	MIA  	335
RSW  	DEN  	1607
BWI  	CMH  	337
CMH  	EWR  	463
LAX  	HDN  	763
DLH  	ORD  	397
ORD  	AUS  	978
TPA  	MSY  	488
ATL  	BNA  	214
CAE  	LGA  	617
ATL  	HSV  	151
PVD  	IAD  	372
MDW  	MCO  	990
RDU  	SFO  	2400
TUL  	LAS  	1076
GRR  	MCO  	1024
MDW  	MEM  	480
HNL  	SAN  	2614
MSY  	JFK  	1182
ORD  	PDX  	1739
AUS  	CLT  	1032
CVG  	DTW  	229
HOU  	ECP  	571
FLL  	MSP  	1487
DFW  	MEI  	485
DCA  	BDL  	313
MHT  	TPA  	1204
MCO  	DFW  	985
CLT  	MDW  	584
OAK  	ONT  	362
IAD  	SEA  	2306
ORD  	IAD  	588
DFW  	ABQ  	569
BQK  	ATL  	238
RSW  	LGA  	1080
BOI  	IAH  	1482
GPT  	DFW  	500
BUF  	IAD  	283
MCO  	PHL  	861
DSM  	SLC  	955
SAN  	HOU  	1313
LAX  	HOU  	1390
XNA  	LGA  	1147
MSP  	TPA  	1306
ISP  	TPA  	1034
SLC  	COS  	411
DFW  	HDN  	769
PHL  	SFO  	2521
TPA  	ATL  	406
LAX  	IAH  	1379
DTW  	TUL  	789
AUS  	STL  	721
XNA  	DEN  	616
JFK  	IAD  	228
HNL  	LAS  	2762
RDU  	BDL  	532
SAV  	LGA  	722
EWR  	BUF  	282
AZO  	MSP  	426
SBN  	MSP  	411
BOS  	DAL  	1554
CHS  	CLT  	168
TTN  	ORD  	693
DTW  	BUF  	241
ATL  	LGA  	762
CSG  	ATL  	83
BNA  	STL  	272
LAX  	ITO  	2449
DFW  	HNL  	3784
PHX  	SNA  	338
MIA  	STX  	1139
PHX  	PIT  	1814
RSW  	DFW  	1017
MCO  	DAY  	808
DFW  	IND  	761
IAH  	MTJ  	927
SFO  	SAN  	447
AUS  	MSP  	1042
LAX  	OGG  	2486
IAH  	LEX  	828
DEN  	GJT  	212
MDW  	DTW  	228
CID  	DFW  	685
PHX  	SAT  	843
JAC  	MSP  	872
LIH  	DEN  	3414
GRR  	EWR  	605
BUF  	BOS  	395
DTW  	MHT  	610
PHX  	CVG  	1569
PHX  	LIT  	1136
MKE  	DEN  	896
LAS  	PHL  	2176
MCO  	RDU  	534
TPA  	LGA  	1010
SEA  	CHS  	2415
ATL  	BZN  	1640
ORD  	TVC  	224
ABQ  	CLT  	1449
OAK  	SLC  	588
SAN  	MSP  	1532
MDW  	RSW  	1105
LGA  	JAX  	833
DEN  	BIL  	455
ATL  	HNL  	4502
ORD  	MTJ  	1081
PDX  	PSP  	873
MSY  	STL  	604
PHX  	IAH  	1009
MDW  	ORF  	704
SMF  	ONT  	390
PHX  	BOS  	2300
MKE  	PHX  	1460
CLT  	PIT  	366
KTN  	WRG  	82
MCO  	SAT  	1041
IAH  	COS  	809
OGG  	PHX  	2845
LAW  	DFW  	140
EWR  	MSY  	1167
JFK  	BUF  	301
LAS  	OKC  	986
IND  	PHX  	1488
PVD  	RSW  	1200
HRL  	IAH  	295
HOU  	MCI  	666
DIK  	MSP  	481
RSW  	IAH  	861
STL  	SLC  	1156
BOS  	MSP  	1124
SFO  	DAL  	1476
MDW  	HOU  	937
PHL  	DCA  	119
DCA  	IND  	500
CDV  	YAK  	213
ABQ  	SEA  	1180
MCO  	PSE  	1179
IAH  	MOB  	427
PHX  	DTW  	1671
CID  	MSP  	220
ORD  	AZO  	122
FAT  	PDX  	626
EGE  	DFW  	721
IAH  	SJC  	1608
BOI  	GEG  	287
DFW  	BIS  	977
DFW  	VPS  	641
DFW  	ABI  	158
LAN  	ORD  	179
BOS  	MDW  	861
ORD  	FWA  	157
CVG  	SFO  	2036
ATL  	HPN  	780
DTW  	MDW  	228
ORD  	CVG  	265
TPA  	EWR  	997
AKN  	ANC  	288
STL  	BWI  	738
MKE  	STL  	317
DTW  	FLL  	1127
ORF  	JFK  	290
SBA  	LAX  	89
DVL  	JMS  	83
IAH  	RSW  	861
LAS  	RNO  	345
ATL  	MLB  	442
ORD  	MKG  	118
HOU  	PHX  	1020
DFW  	DAY  	861
DFW  	CRW  	946
MIA  	ORD  	1197
MSP  	STL  	448
ATL  	CHO  	457
FLL  	AUS  	1105
SLC  	WYS  	273
DTW  	HSV  	554
MKE  	SEA  	1694
SDF  	DFW  	733
MDT  	CLT  	413
LAX  	PHX  	370
PHX  	DAL  	879
ATL  	CHA  	106
CHS  	BOS  	818
CEC  	SFO  	304
BUR  	PHX  	369
BOS  	PBI  	1197
CLT  	SYR  	603
RDU  	CLE  	416
DFW  	TXK  	181
RST  	ATL  	831
MCI  	DTW  	629
DFW  	SMF  	1431
SYR  	MCO  	1053
MIA  	PNS  	530
IAD  	BUF  	283
BIS  	DFW  	977
BQN  	FLL  	982
RST  	MSP  	76
JFK  	HOU  	1428
AUS  	PHX  	872
CVG  	ORD  	264
BWI  	JFK  	184
ASE  	ATL  	1304
ICT  	ORD  	588
FLL  	PHX  	1972
PHX  	LAS  	255
ATL  	FWA  	508
PHX  	MDW  	1444
BWI  	ALB  	289
DRO  	PHX  	353
MOT  	DEN  	604
ANC  	DLG  	329
CHS  	LGA  	641
JFK  	PHX  	2153
LCH  	IAH  	127
SLC  	MSO  	436
GRR  	RSW  	1147
SAT  	BWI  	1407
PNS  	ATL  	271
DFW  	CHS  	987
FAI  	ORD  	2785
TPA  	MKE  	1075
ATL  	BMI  	533
LAX  	IAD  	2288
ORD  	ORF  	717
SAN  	STL  	1557
SAN  	BOI  	749
